"","X","contest","candidate_count","year","contested","choice","party","district"
"884",57,"NC HOUSE OF REPRESENTATIVES DISTRICT 21",1,2008,"No","Larry M. Bell","DEM",21
"885",58,"NC HOUSE OF REPRESENTATIVES DISTRICT 22",1,2008,"No","William Brisson","DEM",22
"886",59,"NC HOUSE OF REPRESENTATIVES DISTRICT 23",2,2008,"Yes","Garland Shepheard","REP",23
"887",60,"NC HOUSE OF REPRESENTATIVES DISTRICT 23",2,2008,"Yes","Joe Tolson","DEM",23
"888",61,"NC HOUSE OF REPRESENTATIVES DISTRICT 24",1,2008,"No","Jean Farmer Butterfield","DEM",24
"889",62,"NC HOUSE OF REPRESENTATIVES DISTRICT 25",2,2008,"Yes","W.B. Bullock","REP",25
"890",63,"NC HOUSE OF REPRESENTATIVES DISTRICT 25",2,2008,"Yes","Randy Stewart","DEM",25
"891",64,"NC HOUSE OF REPRESENTATIVES DISTRICT 26",2,2008,"Yes","Jimmy F. Garner","DEM",26
"892",65,"NC HOUSE OF REPRESENTATIVES DISTRICT 26",2,2008,"Yes","Leo Daughtry","REP",26
"893",66,"NC HOUSE OF REPRESENTATIVES DISTRICT 27",1,2008,"No","Michael H. Wray","DEM",27
"894",67,"NC HOUSE OF REPRESENTATIVES DISTRICT 28",1,2008,"No","James H. Langdon, Jr.","REP",28
"895",68,"NC HOUSE OF REPRESENTATIVES DISTRICT 29",2,2008,"Yes","Justin Lallinger","LIB",29
"896",69,"NC HOUSE OF REPRESENTATIVES DISTRICT 29",2,2008,"Yes","Larry D. Hall","DEM",29
"897",70,"NC HOUSE OF REPRESENTATIVES DISTRICT 3",3,2008,"Yes","Norman Sanderson","REP",3
"898",71,"NC HOUSE OF REPRESENTATIVES DISTRICT 3",3,2008,"Yes","Herb Sobel","LIB",3
"899",72,"NC HOUSE OF REPRESENTATIVES DISTRICT 3",3,2008,"Yes","Alice G. Underhill","DEM",3
"900",73,"NC HOUSE OF REPRESENTATIVES DISTRICT 30",2,2008,"Yes","Sean Haugh","LIB",30
"901",74,"NC HOUSE OF REPRESENTATIVES DISTRICT 30",2,2008,"Yes","Paul Luebke","DEM",30
"902",75,"NC HOUSE OF REPRESENTATIVES DISTRICT 31",1,2008,"No","H.M. (Mickey) Michaux","DEM",31
"903",76,"NC HOUSE OF REPRESENTATIVES DISTRICT 32",2,2008,"Yes","Barbara Howe","LIB",32
"904",77,"NC HOUSE OF REPRESENTATIVES DISTRICT 32",2,2008,"Yes","Jim Crawford","DEM",32
"905",78,"NC HOUSE OF REPRESENTATIVES DISTRICT 33",2,2008,"Yes","Dan Blue","DEM",33
"906",79,"NC HOUSE OF REPRESENTATIVES DISTRICT 33",2,2008,"Yes","Paul F. Terrell, III","REP",33
"907",80,"NC HOUSE OF REPRESENTATIVES DISTRICT 34",2,2008,"Yes","Grier Martin","DEM",34
"908",81,"NC HOUSE OF REPRESENTATIVES DISTRICT 34",2,2008,"Yes","J.H. Ross","REP",34
"909",82,"NC HOUSE OF REPRESENTATIVES DISTRICT 35",2,2008,"Yes","Eric Weaver","REP",35
"910",83,"NC HOUSE OF REPRESENTATIVES DISTRICT 35",2,2008,"Yes","Jennifer Weiss","DEM",35
"911",84,"NC HOUSE OF REPRESENTATIVES DISTRICT 36",2,2008,"Yes","Nelson Dollar","REP",36
"912",85,"NC HOUSE OF REPRESENTATIVES DISTRICT 36",2,2008,"Yes","Al Swanstrom","DEM",36
"913",86,"NC HOUSE OF REPRESENTATIVES DISTRICT 37",2,2008,"Yes","Paul Stam","REP",37
"914",87,"NC HOUSE OF REPRESENTATIVES DISTRICT 37",2,2008,"Yes","Ed Ridpath","DEM",37
"915",88,"NC HOUSE OF REPRESENTATIVES DISTRICT 38",2,2008,"Yes","Susan J. Hogarth","LIB",38
"916",89,"NC HOUSE OF REPRESENTATIVES DISTRICT 38",2,2008,"Yes","Deborah K. Ross","DEM",38
"917",90,"NC HOUSE OF REPRESENTATIVES DISTRICT 39",2,2008,"Yes","Linda Coleman","DEM",39
"918",91,"NC HOUSE OF REPRESENTATIVES DISTRICT 39",2,2008,"Yes","Duane Cutlip","REP",39
"919",92,"NC HOUSE OF REPRESENTATIVES DISTRICT 4",1,2008,"No","Russell E. Tucker","DEM",4
"920",93,"NC HOUSE OF REPRESENTATIVES DISTRICT 40",2,2008,"Yes","Stan Morse","DEM",40
"921",94,"NC HOUSE OF REPRESENTATIVES DISTRICT 40",2,2008,"Yes","Marilyn Avila","REP",40
"922",95,"NC HOUSE OF REPRESENTATIVES DISTRICT 41",2,2008,"Yes","Bryan Gossage","REP",41
"923",96,"NC HOUSE OF REPRESENTATIVES DISTRICT 41",2,2008,"Yes","Ty Harrell","DEM",41
"924",97,"NC HOUSE OF REPRESENTATIVES DISTRICT 42",1,2008,"No","Marvin W. Lucas","DEM",42
"925",98,"NC HOUSE OF REPRESENTATIVES DISTRICT 43",2,2008,"Yes","Elmer Floyd","DEM",43
"926",99,"NC HOUSE OF REPRESENTATIVES DISTRICT 43",2,2008,"Yes","WRITE-IN","",43
"927",100,"NC HOUSE OF REPRESENTATIVES DISTRICT 44",2,2008,"Yes","Margaret Highsmith Dickson","DEM",44
"928",101,"NC HOUSE OF REPRESENTATIVES DISTRICT 44",2,2008,"Yes","Lou  Huddleston","REP",44
"929",102,"NC HOUSE OF REPRESENTATIVES DISTRICT 45",1,2008,"No","Rick Glazier","DEM",45
"930",103,"NC HOUSE OF REPRESENTATIVES DISTRICT 46",1,2008,"No","Douglas Y. Yongue","DEM",46
"931",104,"NC HOUSE OF REPRESENTATIVES DISTRICT 47",1,2008,"No","Ronnie Sutton","DEM",47
"932",105,"NC HOUSE OF REPRESENTATIVES DISTRICT 48",1,2008,"No","Garland E. Pierce","DEM",48
"933",106,"NC HOUSE OF REPRESENTATIVES DISTRICT 49",2,2008,"Yes","Keith Shearon","REP",49
"934",107,"NC HOUSE OF REPRESENTATIVES DISTRICT 49",2,2008,"Yes","Lucy T. Allen","DEM",49
"935",108,"NC HOUSE OF REPRESENTATIVES DISTRICT 5",1,2008,"No","Annie Ward Mobley","DEM",5
"936",109,"NC HOUSE OF REPRESENTATIVES DISTRICT 50",1,2008,"No","Bill Faison","DEM",50
"937",110,"NC HOUSE OF REPRESENTATIVES DISTRICT 51",2,2008,"Yes","Jimmy L. Love, Sr.","DEM",51
"938",111,"NC HOUSE OF REPRESENTATIVES DISTRICT 51",2,2008,"Yes","Linda Shook","REP",51
"939",112,"NC HOUSE OF REPRESENTATIVES DISTRICT 52",2,2008,"Yes","Jamie Boles","REP",52
"940",113,"NC HOUSE OF REPRESENTATIVES DISTRICT 52",2,2008,"Yes","Betty Mangum","DEM",52
"941",114,"NC HOUSE OF REPRESENTATIVES DISTRICT 53",2,2008,"Yes","Joseph Lindsey (Joe) Tart","DEM",53
"942",115,"NC HOUSE OF REPRESENTATIVES DISTRICT 53",2,2008,"Yes","David Lewis","REP",53
"943",116,"NC HOUSE OF REPRESENTATIVES DISTRICT 54",1,2008,"No","Joe Hackney","DEM",54
"944",117,"NC HOUSE OF REPRESENTATIVES DISTRICT 55",1,2008,"No","W.A. (Winkie) Wilkins","DEM",55
"945",118,"NC HOUSE OF REPRESENTATIVES DISTRICT 56",1,2008,"No","Verla C. Insko","DEM",56
"946",119,"NC HOUSE OF REPRESENTATIVES DISTRICT 57",1,2008,"No","Mary Price (Pricey) Harrison","DEM",57
"947",120,"NC HOUSE OF REPRESENTATIVES DISTRICT 58",2,2008,"Yes","Olga Morgan Wright","REP",58
"948",121,"NC HOUSE OF REPRESENTATIVES DISTRICT 58",2,2008,"Yes","Alma Adams","DEM",58
"949",122,"NC HOUSE OF REPRESENTATIVES DISTRICT 59",2,2008,"Yes","Maggie Jeffus","DEM",59
"950",123,"NC HOUSE OF REPRESENTATIVES DISTRICT 59",2,2008,"Yes","Jim Rumley","REP",59
"951",124,"NC HOUSE OF REPRESENTATIVES DISTRICT 6",1,2008,"No","Arthur Williams","DEM",6
"952",125,"NC HOUSE OF REPRESENTATIVES DISTRICT 60",1,2008,"No","Earl Jones","DEM",60
"953",126,"NC HOUSE OF REPRESENTATIVES DISTRICT 61",1,2008,"No","Laura I. Wiley","REP",61
"954",127,"NC HOUSE OF REPRESENTATIVES DISTRICT 62",1,2008,"No","John M. Blust","REP",62
"955",128,"NC HOUSE OF REPRESENTATIVES DISTRICT 63",2,2008,"Yes","Celo Faucette","REP",63
"956",129,"NC HOUSE OF REPRESENTATIVES DISTRICT 63",2,2008,"Yes","Alice Bordsen","DEM",63
"957",130,"NC HOUSE OF REPRESENTATIVES DISTRICT 64",2,2008,"Yes","Henry Vines","DEM",64
"958",131,"NC HOUSE OF REPRESENTATIVES DISTRICT 64",2,2008,"Yes","Cary Dale Allred","REP",64
"959",132,"NC HOUSE OF REPRESENTATIVES DISTRICT 65",1,2008,"No","Nelson Cole","DEM",65
"960",133,"NC HOUSE OF REPRESENTATIVES DISTRICT 66",1,2008,"No","Melanie Wade Goodwin","DEM",66
"961",134,"NC HOUSE OF REPRESENTATIVES DISTRICT 67",1,2008,"No","Justin P. Burr","REP",67
"962",135,"NC HOUSE OF REPRESENTATIVES DISTRICT 68",2,2008,"Yes","Curtis Blackwood","REP",68
"963",136,"NC HOUSE OF REPRESENTATIVES DISTRICT 68",2,2008,"Yes","C. Michael (Mike) Cognac","DEM",68
"964",137,"NC HOUSE OF REPRESENTATIVES DISTRICT 69",2,2008,"Yes","John L. Barker","REP",69
"965",138,"NC HOUSE OF REPRESENTATIVES DISTRICT 69",2,2008,"Yes","Pryor Gibson","DEM",69
"966",139,"NC HOUSE OF REPRESENTATIVES DISTRICT 7",1,2008,"No","Angela R. Bryant","DEM",7
"967",140,"NC HOUSE OF REPRESENTATIVES DISTRICT 70",2,2008,"Yes","Pat B. Hurley","REP",70
"968",141,"NC HOUSE OF REPRESENTATIVES DISTRICT 70",2,2008,"Yes","Bev O'Brien","DEM",70
"969",142,"NC HOUSE OF REPRESENTATIVES DISTRICT 71",2,2008,"Yes","Larry Womble","DEM",71
"970",143,"NC HOUSE OF REPRESENTATIVES DISTRICT 71",2,2008,"Yes","Bobby Richmond","LIB",71
"971",144,"NC HOUSE OF REPRESENTATIVES DISTRICT 72",1,2008,"No","Earline W. Parmon","DEM",72
"972",145,"NC HOUSE OF REPRESENTATIVES DISTRICT 73",2,2008,"Yes","Larry R. Brown","REP",73
"973",146,"NC HOUSE OF REPRESENTATIVES DISTRICT 73",2,2008,"Yes","Cary Morris","LIB",73
"974",147,"NC HOUSE OF REPRESENTATIVES DISTRICT 74",2,2008,"Yes","Dale R. Folwell","REP",74
"975",148,"NC HOUSE OF REPRESENTATIVES DISTRICT 74",2,2008,"Yes","Wade Boyles","DEM",74
"976",149,"NC HOUSE OF REPRESENTATIVES DISTRICT 75",2,2008,"Yes","Dan Bennett","DEM",75
"977",150,"NC HOUSE OF REPRESENTATIVES DISTRICT 75",2,2008,"Yes","William C. (Bill) McGee","REP",75
"978",151,"NC HOUSE OF REPRESENTATIVES DISTRICT 76",1,2008,"No","Fred F. Steen, II","REP",76
"979",152,"NC HOUSE OF REPRESENTATIVES DISTRICT 77",2,2008,"Yes","Ada M. Fisher","REP",77
"980",153,"NC HOUSE OF REPRESENTATIVES DISTRICT 77",2,2008,"Yes","Lorene T. Coates","DEM",77
"981",154,"NC HOUSE OF REPRESENTATIVES DISTRICT 78",1,2008,"No","Harold J. Brubaker","REP",78
"982",155,"NC HOUSE OF REPRESENTATIVES DISTRICT 79",1,2008,"No","Julia C. Howard","REP",79
"983",156,"NC HOUSE OF REPRESENTATIVES DISTRICT 8",1,2008,"No","Edith D. Warren","DEM",8
"984",157,"NC HOUSE OF REPRESENTATIVES DISTRICT 80",1,2008,"No","Jerry C. Dockham","REP",80
"985",158,"NC HOUSE OF REPRESENTATIVES DISTRICT 81",2,2008,"Yes","Rayne Brown","REP",81
"986",159,"NC HOUSE OF REPRESENTATIVES DISTRICT 81",2,2008,"Yes","L. Hugh Holliman","DEM",81
"987",160,"NC HOUSE OF REPRESENTATIVES DISTRICT 82",2,2008,"Yes","Jeff Barnhart","REP",82
"988",161,"NC HOUSE OF REPRESENTATIVES DISTRICT 82",2,2008,"Yes","Wayne Troutman","DEM",82
"989",162,"NC HOUSE OF REPRESENTATIVES DISTRICT 83",2,2008,"Yes","Linda P. Johnson","REP",83
"990",163,"NC HOUSE OF REPRESENTATIVES DISTRICT 83",2,2008,"Yes","Barry G. Richards","DEM",83
"991",164,"NC HOUSE OF REPRESENTATIVES DISTRICT 84",1,2008,"No","Phillip Frye","REP",84
"992",165,"NC HOUSE OF REPRESENTATIVES DISTRICT 85",2,2008,"Yes","Chuck Aldridge","DEM",85
"993",166,"NC HOUSE OF REPRESENTATIVES DISTRICT 85",2,2008,"Yes","Mitch Gillespie","REP",85
"994",167,"NC HOUSE OF REPRESENTATIVES DISTRICT 86",2,2008,"Yes","Hugh Blackwell","REP",86
"995",168,"NC HOUSE OF REPRESENTATIVES DISTRICT 86",2,2008,"Yes","Walt Church, Sr.","DEM",86
"996",169,"NC HOUSE OF REPRESENTATIVES DISTRICT 87",3,2008,"Yes","Edgar V. Starnes","REP",87
"997",170,"NC HOUSE OF REPRESENTATIVES DISTRICT 87",3,2008,"Yes","Timothy J. (T.J.) Rohr","LIB",87
"998",171,"NC HOUSE OF REPRESENTATIVES DISTRICT 87",3,2008,"Yes","John A. Forlines, Jr.","DEM",87
"999",172,"NC HOUSE OF REPRESENTATIVES DISTRICT 88",2,2008,"Yes","Ray Warren","DEM",88
"1000",173,"NC HOUSE OF REPRESENTATIVES DISTRICT 88",2,2008,"Yes","Mark W. Hollo","REP",88
"1001",174,"NC HOUSE OF REPRESENTATIVES DISTRICT 89",1,2008,"No","Mitchell Smith Setzer","REP",89
"1002",175,"NC HOUSE OF REPRESENTATIVES DISTRICT 9",2,2008,"Yes","Ginny Cooper","REP",9
"1003",176,"NC HOUSE OF REPRESENTATIVES DISTRICT 9",2,2008,"Yes","Marian N. McLawhorn","DEM",9
"1004",177,"NC HOUSE OF REPRESENTATIVES DISTRICT 90",2,2008,"Yes","Sarah Stevens","REP",90
"1005",178,"NC HOUSE OF REPRESENTATIVES DISTRICT 90",2,2008,"Yes","Jim Harrell","DEM",90
"1006",179,"NC HOUSE OF REPRESENTATIVES DISTRICT 91",2,2008,"Yes","Ed Gambill","DEM",91
"1007",180,"NC HOUSE OF REPRESENTATIVES DISTRICT 91",2,2008,"Yes","Bryan Holloway","REP",91
"1008",181,"NC HOUSE OF REPRESENTATIVES DISTRICT 92",2,2008,"Yes","Darrell G. McCormick","REP",92
"1009",182,"NC HOUSE OF REPRESENTATIVES DISTRICT 92",2,2008,"Yes","Ric Marshall","DEM",92
"1010",183,"NC HOUSE OF REPRESENTATIVES DISTRICT 93",3,2008,"Yes","Daniel F. Soucek","REP",93
"1011",184,"NC HOUSE OF REPRESENTATIVES DISTRICT 93",3,2008,"Yes","Cullie Tarleton","DEM",93
"1012",185,"NC HOUSE OF REPRESENTATIVES DISTRICT 93",3,2008,"Yes","Jeff Cannon","LIB",93
"1013",186,"NC HOUSE OF REPRESENTATIVES DISTRICT 94",2,2008,"Yes","Shirley Blackburn Randleman","REP",94
"1014",187,"NC HOUSE OF REPRESENTATIVES DISTRICT 94",2,2008,"Yes","Larry Pendry","DEM",94
"1015",188,"NC HOUSE OF REPRESENTATIVES DISTRICT 95",3,2008,"Yes","WRITE-IN","",95
"1016",189,"NC HOUSE OF REPRESENTATIVES DISTRICT 95",3,2008,"Yes","Jeffrey Ober","LIB",95
"1017",190,"NC HOUSE OF REPRESENTATIVES DISTRICT 95",3,2008,"Yes","Grey Mills","REP",95
"1018",191,"NC HOUSE OF REPRESENTATIVES DISTRICT 96",2,2008,"Yes","Mark K. Hilton","REP",96
"1019",192,"NC HOUSE OF REPRESENTATIVES DISTRICT 96",2,2008,"Yes","Lawrence G. Hollar","LIB",96
"1020",193,"NC HOUSE OF REPRESENTATIVES DISTRICT 97",1,2008,"No","Johnathan Rhyne","REP",97
"1021",194,"NC HOUSE OF REPRESENTATIVES DISTRICT 98",1,2008,"No","Thom Tillis","REP",98
"1022",195,"NC HOUSE OF REPRESENTATIVES DISTRICT 99",2,2008,"Yes","Dempsey Miller","REP",99
"1023",196,"NC HOUSE OF REPRESENTATIVES DISTRICT 99",2,2008,"Yes","Nick Mackey","DEM",99
"1024",1,"NC HOUSE OF REPRESENTATIVES DISTRICT 1",2,2010,"Yes","W. C. (Bill) Owens, Jr.","DEM",1
"1025",2,"NC HOUSE OF REPRESENTATIVES DISTRICT 1",2,2010,"Yes","John J. Woodard, Jr.","REP",1
"1026",3,"NC HOUSE OF REPRESENTATIVES DISTRICT 10",2,2010,"Yes","Stephen LaRoque","REP",10
"1027",4,"NC HOUSE OF REPRESENTATIVES DISTRICT 10",2,2010,"Yes","Van Braxton","DEM",10
"1028",5,"NC HOUSE OF REPRESENTATIVES DISTRICT 100",1,2010,"No","Tricia Cotham","DEM",100
"1029",6,"NC HOUSE OF REPRESENTATIVES DISTRICT 101",2,2010,"Yes","Beverly Miller Earle","DEM",101
"1030",7,"NC HOUSE OF REPRESENTATIVES DISTRICT 101",2,2010,"Yes","Rebecca H. Steen","REP",101
"1031",8,"NC HOUSE OF REPRESENTATIVES DISTRICT 102",1,2010,"No","Becky Carney","DEM",102
"1032",9,"NC HOUSE OF REPRESENTATIVES DISTRICT 103",2,2010,"Yes","Bill Brawley","REP",103
"1033",10,"NC HOUSE OF REPRESENTATIVES DISTRICT 103",2,2010,"Yes","Ann Newman","DEM",103
"1034",11,"NC HOUSE OF REPRESENTATIVES DISTRICT 104",2,2010,"Yes","Ruth Samuelson","REP",104
"1035",12,"NC HOUSE OF REPRESENTATIVES DISTRICT 104",2,2010,"Yes","Frank Deaton","DEM",104
"1036",13,"NC HOUSE OF REPRESENTATIVES DISTRICT 105",1,2010,"No","Ric Killian","REP",105
"1037",14,"NC HOUSE OF REPRESENTATIVES DISTRICT 106",2,2010,"Yes","Michael Cavallo","REP",106
"1038",15,"NC HOUSE OF REPRESENTATIVES DISTRICT 106",2,2010,"Yes","Martha Alexander","DEM",106
"1039",16,"NC HOUSE OF REPRESENTATIVES DISTRICT 107",2,2010,"Yes","Debbie Ware","REP",107
"1040",17,"NC HOUSE OF REPRESENTATIVES DISTRICT 107",2,2010,"Yes","Kelly Alexander","DEM",107
"1041",18,"NC HOUSE OF REPRESENTATIVES DISTRICT 108",1,2010,"No","John Torbett","REP",108
"1042",19,"NC HOUSE OF REPRESENTATIVES DISTRICT 109",1,2010,"No","William A. Current","REP",109
"1043",20,"NC HOUSE OF REPRESENTATIVES DISTRICT 11",1,2010,"No","Efton M. Sager","REP",11
"1044",21,"NC HOUSE OF REPRESENTATIVES DISTRICT 110",2,2010,"Yes","Kelly E. Hastings","REP",110
"1045",22,"NC HOUSE OF REPRESENTATIVES DISTRICT 110",2,2010,"Yes","John Eaker","DEM",110
"1046",23,"NC HOUSE OF REPRESENTATIVES DISTRICT 111",2,2010,"Yes","Tim Moore","REP",111
"1047",24,"NC HOUSE OF REPRESENTATIVES DISTRICT 111",2,2010,"Yes","Mary S. Accor","DEM",111
"1048",25,"NC HOUSE OF REPRESENTATIVES DISTRICT 112",2,2010,"Yes","Jim Proctor","DEM",112
"1049",26,"NC HOUSE OF REPRESENTATIVES DISTRICT 112",2,2010,"Yes","Mike Hager","REP",112
"1050",27,"NC HOUSE OF REPRESENTATIVES DISTRICT 113",1,2010,"No","W. David Guice","REP",113
"1051",28,"NC HOUSE OF REPRESENTATIVES DISTRICT 114",2,2010,"Yes","John Carroll","REP",114
"1052",29,"NC HOUSE OF REPRESENTATIVES DISTRICT 114",2,2010,"Yes","Susan C. Fisher","DEM",114
"1053",30,"NC HOUSE OF REPRESENTATIVES DISTRICT 115",2,2010,"Yes","Patsy Keever","DEM",115
"1054",31,"NC HOUSE OF REPRESENTATIVES DISTRICT 115",2,2010,"Yes","Mark Crawford","REP",115
"1055",32,"NC HOUSE OF REPRESENTATIVES DISTRICT 116",2,2010,"Yes","Tim Moffitt","REP",116
"1056",33,"NC HOUSE OF REPRESENTATIVES DISTRICT 116",2,2010,"Yes","Jane Whilden","DEM",116
"1057",34,"NC HOUSE OF REPRESENTATIVES DISTRICT 117",1,2010,"No","Chuck McGrady","REP",117
"1058",35,"NC HOUSE OF REPRESENTATIVES DISTRICT 118",2,2010,"Yes","Samuel L. (Sam) Edwards","REP",118
"1059",36,"NC HOUSE OF REPRESENTATIVES DISTRICT 118",2,2010,"Yes","Ray Rapp","DEM",118
"1060",37,"NC HOUSE OF REPRESENTATIVES DISTRICT 119",2,2010,"Yes","Phil Haire","DEM",119
"1061",38,"NC HOUSE OF REPRESENTATIVES DISTRICT 119",2,2010,"Yes","Dodie Allen","REP",119
"1062",39,"NC HOUSE OF REPRESENTATIVES DISTRICT 12",2,2010,"Yes","William L. Wainwright","DEM",12
"1063",40,"NC HOUSE OF REPRESENTATIVES DISTRICT 12",2,2010,"Yes","Mark W. Griffin","REP",12
"1064",41,"NC HOUSE OF REPRESENTATIVES DISTRICT 120",2,2010,"Yes","Randy Hogsed","DEM",120
"1065",42,"NC HOUSE OF REPRESENTATIVES DISTRICT 120",2,2010,"Yes","Roger West","REP",120
"1066",43,"NC HOUSE OF REPRESENTATIVES DISTRICT 13",2,2010,"Yes","Craig K. Hassler","DEM",13
"1067",44,"NC HOUSE OF REPRESENTATIVES DISTRICT 13",2,2010,"Yes","Patricia (Pat) McElraft","REP",13
"1068",45,"NC HOUSE OF REPRESENTATIVES DISTRICT 14",1,2010,"No","George G. Cleveland","REP",14
"1069",46,"NC HOUSE OF REPRESENTATIVES DISTRICT 15",2,2010,"Yes","George Shaeffer","UNA",15
"1070",47,"NC HOUSE OF REPRESENTATIVES DISTRICT 15",2,2010,"Yes","Phillip Shepard","REP",15
"1071",48,"NC HOUSE OF REPRESENTATIVES DISTRICT 16",2,2010,"Yes","Franklin (F. D.) Rivenbark","DEM",16
"1072",49,"NC HOUSE OF REPRESENTATIVES DISTRICT 16",2,2010,"Yes","Carolyn Justice","REP",16
"1073",50,"NC HOUSE OF REPRESENTATIVES DISTRICT 17",2,2010,"Yes","Frank Iler","REP",17
"1074",51,"NC HOUSE OF REPRESENTATIVES DISTRICT 17",2,2010,"Yes","James A. Knox","DEM",17
"1075",52,"NC HOUSE OF REPRESENTATIVES DISTRICT 18",2,2010,"Yes","Susi Hamilton","DEM",18
"1076",53,"NC HOUSE OF REPRESENTATIVES DISTRICT 18",2,2010,"Yes","Beth Dawson","REP",18
"1077",54,"NC HOUSE OF REPRESENTATIVES DISTRICT 19",1,2010,"No","Danny McComas","REP",19
"1078",55,"NC HOUSE OF REPRESENTATIVES DISTRICT 2",2,2010,"Yes","Bob Steinburg","REP",2
"1079",56,"NC HOUSE OF REPRESENTATIVES DISTRICT 2",2,2010,"Yes","Timothy L. (Tim) Spear","DEM",2
"1080",57,"NC HOUSE OF REPRESENTATIVES DISTRICT 20",2,2010,"Yes","Dewey L. Hill","DEM",20
"1081",58,"NC HOUSE OF REPRESENTATIVES DISTRICT 20",2,2010,"Yes","Tristan V. Patterson","REP",20
"1082",59,"NC HOUSE OF REPRESENTATIVES DISTRICT 21",2,2010,"Yes","DeAnn G. Poirier","REP",21
"1083",60,"NC HOUSE OF REPRESENTATIVES DISTRICT 21",2,2010,"Yes","Larry M. Bell","DEM",21
"1084",61,"NC HOUSE OF REPRESENTATIVES DISTRICT 22",2,2010,"Yes","William Brisson","DEM",22
"1085",62,"NC HOUSE OF REPRESENTATIVES DISTRICT 22",2,2010,"Yes","John Szoka","REP",22
"1086",63,"NC HOUSE OF REPRESENTATIVES DISTRICT 23",2,2010,"Yes","Garland Shepheard","REP",23
"1087",64,"NC HOUSE OF REPRESENTATIVES DISTRICT 23",2,2010,"Yes","Joe Tolson","DEM",23
"1088",65,"NC HOUSE OF REPRESENTATIVES DISTRICT 24",2,2010,"Yes","Claiborne R. Holtzman","REP",24
"1089",66,"NC HOUSE OF REPRESENTATIVES DISTRICT 24",2,2010,"Yes","Jean Farmer-Butterfield","DEM",24
"1090",67,"NC HOUSE OF REPRESENTATIVES DISTRICT 25",2,2010,"Yes","Jeffrey L. (Jeff) Collins","REP",25
"1091",68,"NC HOUSE OF REPRESENTATIVES DISTRICT 25",2,2010,"Yes","Randy Stewart","DEM",25
"1092",69,"NC HOUSE OF REPRESENTATIVES DISTRICT 26",1,2010,"No","Leo Daughtry","REP",26
"1093",70,"NC HOUSE OF REPRESENTATIVES DISTRICT 27",1,2010,"No","Michael H. Wray","DEM",27
"1094",71,"NC HOUSE OF REPRESENTATIVES DISTRICT 28",2,2010,"Yes","James H. (J.H.) Langdon, Jr.","REP",28
"1095",72,"NC HOUSE OF REPRESENTATIVES DISTRICT 28",2,2010,"Yes","Brian Allen","DEM",28
"1096",73,"NC HOUSE OF REPRESENTATIVES DISTRICT 29",1,2010,"No","Larry D. Hall","DEM",29
"1097",74,"NC HOUSE OF REPRESENTATIVES DISTRICT 3",3,2010,"Yes","Herb Sobel","LIB",3
"1098",75,"NC HOUSE OF REPRESENTATIVES DISTRICT 3",3,2010,"Yes","Alice Graham Underhill","DEM",3
"1099",76,"NC HOUSE OF REPRESENTATIVES DISTRICT 3",3,2010,"Yes","Norman Sanderson","REP",3
"1100",77,"NC HOUSE OF REPRESENTATIVES DISTRICT 30",2,2010,"Yes","Jason Chambers","REP",30
"1101",78,"NC HOUSE OF REPRESENTATIVES DISTRICT 30",2,2010,"Yes","Paul Luebke","DEM",30
"1102",79,"NC HOUSE OF REPRESENTATIVES DISTRICT 31",2,2010,"Yes","H.M. (Mickey) Michaux","DEM",31
"1103",80,"NC HOUSE OF REPRESENTATIVES DISTRICT 31",2,2010,"Yes","Patricia Ladd","REP",31
"1104",81,"NC HOUSE OF REPRESENTATIVES DISTRICT 32",2,2010,"Yes","Jim Crawford","DEM",32
"1105",82,"NC HOUSE OF REPRESENTATIVES DISTRICT 32",2,2010,"Yes","Barbara Howe","LIB",32
"1106",83,"NC HOUSE OF REPRESENTATIVES DISTRICT 33",2,2010,"Yes","Paul Terrell","REP",33
"1107",84,"NC HOUSE OF REPRESENTATIVES DISTRICT 33",2,2010,"Yes","Rosa U. Gill","DEM",33
"1108",85,"NC HOUSE OF REPRESENTATIVES DISTRICT 34",2,2010,"Yes","Grier Martin","DEM",34
"1109",86,"NC HOUSE OF REPRESENTATIVES DISTRICT 34",2,2010,"Yes","Steve Henion","REP",34
"1110",87,"NC HOUSE OF REPRESENTATIVES DISTRICT 35",2,2010,"Yes","Don Frantz","REP",35
"1111",88,"NC HOUSE OF REPRESENTATIVES DISTRICT 35",2,2010,"Yes","Jennifer Weiss","DEM",35
"1112",89,"NC HOUSE OF REPRESENTATIVES DISTRICT 36",2,2010,"Yes","Robin Anderson","DEM",36
"1113",90,"NC HOUSE OF REPRESENTATIVES DISTRICT 36",2,2010,"Yes","Nelson Dollar","REP",36
"1114",91,"NC HOUSE OF REPRESENTATIVES DISTRICT 37",2,2010,"Yes","Paul Stam","REP",37
"1115",92,"NC HOUSE OF REPRESENTATIVES DISTRICT 37",2,2010,"Yes","Debra McHenry","DEM",37
"1116",93,"NC HOUSE OF REPRESENTATIVES DISTRICT 38",2,2010,"Yes","Madison E. Shook","REP",38
"1117",94,"NC HOUSE OF REPRESENTATIVES DISTRICT 38",2,2010,"Yes","Deborah K. Ross","DEM",38
"1118",95,"NC HOUSE OF REPRESENTATIVES DISTRICT 39",2,2010,"Yes","Darren Jackson","DEM",39
"1119",96,"NC HOUSE OF REPRESENTATIVES DISTRICT 39",2,2010,"Yes","Duane Cutlip","REP",39
